x,y,u,v,p
0.5,0.0,-0.02666487544775,-0.0027991107199341,0.0132250552996993
0.52,0.0,-0.0270029082894325,-0.0028908853419125,0.0132035063579678
0.54,0.0,-0.0273328050971031,-0.0029817754402756,0.0131816901266574
0.56,0.0,-0.0276549980044364,-0.0030718245543539,0.013159554451704
0.58,0.0,-0.0279695466160774,-0.0031611141748726,0.0131372679024934
0.6,0.0,-0.0282769426703453,-0.0032494938932359,0.0131148733198642
0.62,0.0,-0.0285775437951087,-0.0033371327444911,0.0130923930555582
0.64,0.0,-0.0288714244961738,-0.0034238938242197,0.0130697796121239
0.66,0.0,-0.0291588678956031,-0.003509690053761,0.0130470655858516
0.6799999999999999,0.0,-0.0294407084584236,-0.0035946806892752,0.0130244055762887
0.7,0.0,-0.0297167375683784,-0.0036788396537303,0.0130019169300794
0.72,0.0,-0.029987446963787,-0.0037620975635945,0.0129796061664819
0.74,0.0,-0.0302532091736793,-0.0038444446399807,0.0129571435973048
0.76,0.0,-0.0305141136050224,-0.0039259791374206,0.0129351383075118
0.78,0.0,-0.0307705178856849,-0.0040066470392048,0.0129131153225898
0.8,0.0,-0.031022734940052,-0.0040863715112209,0.0128915999084711
0.8200000000000001,0.0,-0.0312712267041206,-0.0041652112267911,0.0128702819347381
0.8400000000000001,0.0,-0.0315159931778907,-0.0042431629262864,0.0128492712974548
0.86,0.0,-0.0317574962973594,-0.0043202089145779,0.0128287710249423
0.88,0.0,-0.0319961681962013,-0.0043963510543107,0.0128086218610405
0.9,0.0,-0.0322317853569984,-0.004471531137824,0.0127890110015869
0.92,0.0,-0.0324651375412941,-0.0045457794331014,0.0127698043361306
0.94,0.0,-0.0326961055397987,-0.0046191224828362,0.0127511611208319
0.96,0.0,-0.0329250916838645,-0.0046915747225284,0.012733057141304
0.98,0.0,-0.0331526175141334,-0.0047631375491619,0.0127156479284167
1.0,0.0,-0.0333784446120262,-0.0048337029293179,0.0126987630501389
1.02,0.0,-0.0336032286286354,-0.0049032601527869,0.012682563625276
1.04,0.0,-0.0338266715407371,-0.0049720364622771,0.0126670664176344
1.06,0.0,-0.0340497866272926,-0.0050396304577589,0.0126523915678262
1.08,0.0,-0.0342723354697227,-0.0051064053550362,0.0126384729519486
1.1,0.0,-0.0344941690564155,-0.0051721534691751,0.0126251922920346
1.12,0.0,-0.034716360270977,-0.0052370144985616,0.0126129686832427
1.14,0.0,-0.0349386110901832,-0.0053008627146482,0.0126013932749629
1.16,0.0,-0.0351613834500312,-0.0053636892698705,0.0125907594338059
1.1800000000000002,0.0,-0.0353845283389091,-0.0054255784489214,0.0125810438767075
1.2000000000000002,0.0,-0.035608597099781,-0.0054864715784788,0.0125721925869584
1.22,0.0,-0.0358334109187126,-0.0055464175529778,0.0125644160434603
1.24,0.0,-0.036059446632862,-0.0056053674779832,0.0125576332211494
1.26,0.0,-0.0362867042422294,-0.0056632352061569,0.0125518226996064
1.28,0.0,-0.0365157052874565,-0.0057201408781111,0.012547037564218
1.3,0.0,-0.036746509373188,-0.0057760020717978,0.0125432563945651
1.32,0.0,-0.036978967487812,-0.0058309258893132,0.0125405509024858
1.34,0.0,-0.037213496863842,-0.0058847879990935,0.0125389769673347
1.36,0.0,-0.0374503508210182,-0.0059375655837357,0.0125384824350476
1.38,0.0,-0.0376893654465675,-0.005989377386868,0.0125391334295272
1.4,0.0,-0.0379308089613914,-0.0060402085073292,0.0125408787280321
1.42,0.0,-0.0381749793887138,-0.0060899257659912,0.0125438589602708
1.44,0.0,-0.038421906530857,-0.0061385780572891,0.0125480210408568
1.46,0.0,-0.0386717095971107,-0.0061862645670771,0.0125535074621438
1.48,0.0,-0.0389245972037315,-0.0062328265048563,0.012560018338263
1.5,0.0,-0.0391805246472358,-0.0062783313915133,0.012567832134664
1.5,0.0,-0.0383486449718475,-0.0034334454685449,0.0148081835359334
1.52,0.0,-0.038723200559616,-0.003348670899868,0.0149252135306596
1.54,0.0,-0.0390568375587463,-0.0032655373215675,0.0150384912267327
1.56,0.0,-0.0393513292074203,-0.0031841080635786,0.0151480585336685
1.58,0.0,-0.0396072417497634,-0.0031043738126754,0.0152540272101759
1.6,0.0,-0.0398264676332473,-0.0030262619256973,0.0153566990047693
1.62,0.0,-0.0400092601776123,-0.0029497779905796,0.0154559398069977
1.64,0.0,-0.0401573330163955,-0.0028749518096446,0.0155519098043441
1.66,0.0,-0.0402717739343643,-0.0028016529977321,0.0156446732580661
1.68,0.0,-0.0403532981872558,-0.0027300100773572,0.0157344136387109
1.7,0.0,-0.0404030978679657,-0.0026597585529088,0.0158212222158908
1.72,0.0,-0.0404220223426818,-0.0025911312550306,0.0159051492810249
1.74,0.0,-0.0404111593961715,-0.0025239717215299,0.0159862618893384
1.76,0.0,-0.0403711050748825,-0.0024584308266639,0.0160646103322505
1.78,0.0,-0.0403029471635818,-0.0023943446576595,0.016140341758728
1.8,0.0,-0.040207639336586,-0.0023316089063882,0.0162135493010282
1.82,0.0,-0.0400858372449874,-0.0022704321891069,0.0162841938436031
1.84,0.0,-0.0399383157491683,-0.0022105704993009,0.0163524989038705
1.86,0.0,-0.0397661328315734,-0.0021522343158721,0.0164183173328638
1.88,0.0,-0.0395694524049758,-0.0020952224731445,0.0164820533245801
1.9,0.0,-0.0393494814634323,-0.0020396169275045,0.0165434274822473
1.92,0.0,-0.0391069054603576,-0.0019853953272104,0.0166026670485734
1.94,0.0,-0.0388422161340713,-0.0019324552267789,0.0166598372161388
1.96,0.0,-0.0385560542345047,-0.0018808376044034,0.0167149528861045
1.98,0.0,-0.0382491946220397,-0.0018305592238903,0.0167680904269218
2.0,0.0,-0.0379223376512527,-0.0017815083265304,0.0168193727731704
2.02,0.0,-0.0375759005546569,-0.0017338450998067,0.0168687626719474
2.04,0.0,-0.0372103154659271,-0.0016873367130756,0.0169163197278976
2.06,0.0,-0.0368265062570571,-0.0016421303153038,0.016962070018053
2.08,0.0,-0.0364246815443038,-0.0015981439501047,0.0170062221586704
2.1,0.0,-0.036005824804306,-0.0015553347766399,0.0170486606657505
2.12,0.0,-0.0355701446533203,-0.0015135910362005,0.0170894861221313
2.14,0.0,-0.0351180285215377,-0.0014732051640748,0.0171287097036838
2.16,0.0,-0.0346500724554061,-0.0014338809996843,0.0171664599329233
2.18,0.0,-0.0341669172048568,-0.001395734027028,0.0172026176005601
2.2,0.0,-0.0336685329675674,-0.0013587344437837,0.0172374285757541
2.22,0.0,-0.033156082034111,-0.0013227816671133,0.0172707960009574
2.24,0.0,-0.0326294600963592,-0.0012878682464361,0.0173028483986854
2.26,0.0,-0.0320890098810195,-0.0012540835887193,0.0173335261642932
2.28,0.0,-0.0315355956554412,-0.0012214221060276,0.0173628814518451
2.3,0.0,-0.030969351530075,-0.0011897534132003,0.0173909775912761
2.3200000000000003,0.0,-0.0303907543420791,-0.0011590775102376,0.0174179039895534
2.34,0.0,-0.0297997444868087,-0.0011295229196548,0.0174435302615165
2.36,0.0,-0.0291974246501922,-0.0011008866131305,0.0174681060016155
2.38,0.0,-0.0285833626985549,-0.0010732896625995,0.017491478472948
2.4,0.0,-0.0279584974050521,-0.0010465253144502,0.0175138600170612
2.42,0.0,-0.0273230224847793,-0.0010208953171968,0.0175350345671176
2.44,0.0,-0.0266772210597991,-0.0009961426258087,0.0175551734864711
2.46,0.0,-0.0260209888219833,-0.0009722560644149,0.0175745096057653
2.48,0.0,-0.0253553092479705,-0.0009492374956607,0.0175926592200994
2.5,0.0,-0.0246801227331161,-0.000927310436964,0.0176098383963108
